"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
26000,Michigan,6,"  Disposable personal income",484712.1
26000,Michigan,7,"  Personal consumption expenditures",411989.1
26000,Michigan,,Real per capita dollar statistics (constant 2012 dollars),
26000,Michigan,8,"  Real per capita personal income 4/",51071
26000,Michigan,9,"  Real per capita PCE 5/",39459
26000,Michigan,,Per capita current dollar statistics,
26000,Michigan,10,"  Per capita personal income 6/",53388
26000,Michigan,11,"  Per capita disposable personal income 7/",48145
26000,Michigan,12,"  Per capita personal consumption expenditures (PCE) 8/",40922
26000,Michigan,,Price indexes,
26000,Michigan,13,"  Regional price parities (RPPs) 9/",94.045
26000,Michigan,14,"  Implicit regional price deflator 10/",104.601
26000,Michigan,,Employment,
26000,Michigan,15,"  Total employment (number of jobs)",5388167
27000,Minnesota,,Real dollar statistics,
27000,Minnesota,1,"  Real GDP (millions of chained 2012 dollars) 1/",328489.5
27000,Minnesota,2,"  Real personal income (millions of constant (2012) dollars) 2/",320748.9
27000,Minnesota,3,"  Real PCE (millions of constant (2012) dollars) 3/",229001.5
27000,Minnesota,,Current dollar statistics (millions of dollars),
27000,Minnesota,4,"  Gross domestic product (GDP)",376814.4
27000,Minnesota,5,"  Personal income",355211.2
27000,Minnesota,6,"  Disposable personal income",311082.3
27000,Minnesota,7,"  Personal consumption expenditures",252088.0
27000,Minnesota,,Real per capita dollar statistics (constant 2012 dollars),
27000,Minnesota,8,"  Real per capita personal income 4/",56696
27000,Minnesota,9,"  Real per capita PCE 5/",40479
27000,Minnesota,,Per capita current dollar statistics,
27000,Minnesota,10,"  Per capita personal income 6/",62240
27000,Minnesota,11,"  Per capita disposable personal income 7/",54507
27000,Minnesota,12,"  Per capita personal consumption expenditures (PCE) 8/",44170
27000,Minnesota,,Price indexes,
27000,Minnesota,13,"  Regional price parities (RPPs) 9/",98.625
27000,Minnesota,14,"  Implicit regional price deflator 10/",109.696
27000,Minnesota,,Employment,
27000,Minnesota,15,"  Total employment (number of jobs)",3608149
28000,Mississippi,,Real dollar statistics,
28000,Mississippi,1,"  Real GDP (millions of chained 2012 dollars) 1/",100526.9
28000,Mississippi,2,"  Real personal income (millions of constant (2012) dollars) 2/",128412.9
28000,Mississippi,3,"  Real PCE (millions of constant (2012) dollars) 3/",98330.7
28000,Mississippi,,Current dollar statistics (millions of dollars),
28000,Mississippi,4,"  Gross domestic product (GDP)",115123.4
28000,Mississippi,5,"  Personal income",126306.9
28000,Mississippi,6,"  Disposable personal income",117059.7
28000,Mississippi,7,"  Personal consumption expenditures",96324.6
28000,Mississippi,,Real per capita dollar statistics (constant 2012 dollars),
28000,Mississippi,8,"  Real per capita personal income 4/",43284
28000,Mississippi,9,"  Real per capita PCE 5/",33144
28000,Mississippi,,Per capita current dollar statistics,
28000,Mississippi,10,"  Per capita personal income 6/",42716
28000,Mississippi,11,"  Per capita disposable personal income 7/",39589
28000,Mississippi,12,"  Per capita personal consumption expenditures (PCE) 8/",32577
28000,Mississippi,,Price indexes,
28000,Mississippi,13,"  Regional price parities (RPPs) 9/",87.775
28000,Mississippi,14,"  Implicit regional price deflator 10/",97.628
28000,Mississippi,,Employment,
28000,Mississippi,15,"  Total employment (number of jobs)",1573592
29000,Missouri,,Real dollar statistics,
29000,Missouri,1,"  Real GDP (millions of chained 2012 dollars) 1/",282754.1
29000,Missouri,2,"  Real personal income (millions of constant (2012) dollars) 2/",310064.8
29000,Missouri,3,"  Real PCE (millions of constant (2012) dollars) 3/",239174.1
29000,Missouri,,Current dollar statistics (millions of dollars),
29000,Missouri,4,"  Gross domestic product (GDP)",330249.9
29000,Missouri,5,"  Personal income",320698.2
29000,Missouri,6,"  Disposable personal income",288990.1
29000,Missouri,7,"  Personal consumption expenditures",246982.5
29000,Missouri,,Real per capita dollar statistics (constant 2012 dollars),
29000,Missouri,8,"  Real per capita personal income 4/",50404
29000,Missouri,9,"  Real per capita PCE 5/",38880
29000,Missouri,,Per capita current dollar statistics,
29000,Missouri,10,"  Per capita personal income 6/",52108
29000,Missouri,11,"  Per capita disposable personal income 7/",46956
29000,Missouri,12,"  Per capita personal consumption expenditures (PCE) 8/",40131
29000,Missouri,,Price indexes,
29000,Missouri,13,"  Regional price parities (RPPs) 9/",92.494
29000,Missouri,14,"  Implicit regional price deflator 10/",102.876
29000,Missouri,,Employment,
29000,Missouri,15,"  Total employment (number of jobs)",3693351
30000,Montana,,Real dollar statistics,
30000,Montana,1,"  Real GDP (millions of chained 2012 dollars) 1/",46750.4
30000,Montana,2,"  Real personal income (millions of constant (2012) dollars) 2/",56248.7
30000,Montana,3,"  Real PCE (millions of constant (2012) dollars) 3/",44465.6
30000,Montana,,Current dollar statistics (millions of dollars),
30000,Montana,4,"  Gross domestic product (GDP)",52355.8
30000,Montana,5,"  Personal income",58769.6
30000,Montana,6,"  Disposable personal income",52805.3
30000,Montana,7,"  Personal consumption expenditures",46022.0
30000,Montana,,Real per capita dollar statistics (constant 2012 dollars),
30000,Montana,8,"  Real per capita personal income 4/",52054
30000,Montana,9,"  Real per capita PCE 5/",41150
30000,Montana,,Per capita current dollar statistics,
30000,Montana,10,"  Per capita personal income 6/",54106
30000,Montana,11,"  Per capita disposable personal income 7/",48615
30000,Montana,12,"  Per capita personal consumption expenditures (PCE) 8/",42370
30000,Montana,,Price indexes,
30000,Montana,13,"  Regional price parities (RPPs) 9/",92.443
30000,Montana,14,"  Implicit regional price deflator 10/",102.820
30000,Montana,,Employment,
30000,Montana,15,"  Total employment (number of jobs)",684333
31000,Nebraska,,Real dollar statistics,
31000,Nebraska,1,"  Real GDP (millions of chained 2012 dollars) 1/",118141.5
31000,Nebraska,2,"  Real personal income (millions of constant (2012) dollars) 2/",108291.2
31000,Nebraska,3,"  Real PCE (millions of constant (2012) dollars) 3/",77154.8
31000,Nebraska,,Current dollar statistics (millions of dollars),
31000,Nebraska,4,"  Gross domestic product (GDP)",134580.8
31000,Nebraska,5,"  Personal income",112629.7
31000,Nebraska,6,"  Disposable personal income",101869.0
31000,Nebraska,7,"  Personal consumption expenditures",80058.2
31000,Nebraska,,Real per capita dollar statistics (constant 2012 dollars),
31000,Nebraska,8,"  Real per capita personal income 4/",55891
31000,Nebraska,9,"  Real per capita PCE 5/",39821
31000,Nebraska,,Per capita current dollar statistics,
31000,Nebraska,10,"  Per capita personal income 6/",57421
31000,Nebraska,11,"  Per capita disposable personal income 7/",51935
31000,Nebraska,12,"  Per capita personal consumption expenditures (PCE) 8/",40816
31000,Nebraska,,Price indexes,
31000,Nebraska,13,"  Regional price parities (RPPs) 9/",92.890
31000,Nebraska,14,"  Implicit regional price deflator 10/",103.317
31000,Nebraska,,Employment,
31000,Nebraska,15,"  Total employment (number of jobs)",1305987
32000,Nevada,,Real dollar statistics,
32000,Nevada,1,"  Real GDP (millions of chained 2012 dollars) 1/",146492.5
32000,Nevada,2,"  Real personal income (millions of constant (2012) dollars) 2/",156644.1
32000,Nevada,3,"  Real PCE (millions of constant (2012) dollars) 3/",113990.9
32000,Nevada,,Current dollar statistics (millions of dollars),
32000,Nevada,4,"  Gross domestic product (GDP)",172562.6
32000,Nevada,5,"  Personal income",172538.5
32000,Nevada,6,"  Disposable personal income",156436.5
32000,Nevada,7,"  Personal consumption expenditures",124030.6
32000,Nevada,,Real per capita dollar statistics (constant 2012 dollars),
32000,Nevada,8,"  Real per capita personal income 4/",49914
32000,Nevada,9,"  Real per capita PCE 5/",36323
32000,Nevada,,Per capita current dollar statistics,
32000,Nevada,10,"  Per capita personal income 6/",55406
32000,Nevada,11,"  Per capita disposable personal income 7/",50235
32000,Nevada,12,"  Per capita personal consumption expenditures (PCE) 8/",39829
32000,Nevada,,Price indexes,
32000,Nevada,13,"  Regional price parities (RPPs) 9/",97.056
32000,Nevada,14,"  Implicit regional price deflator 10/",107.951
32000,Nevada,,Employment,
32000,Nevada,15,"  Total employment (number of jobs)",1770936
33000,New Hampshire,,Real dollar statistics,
33000,New Hampshire,1,"  Real GDP (millions of chained 2012 dollars) 1/",75927.6
33000,New Hampshire,2,"  Real personal income (millions of constant (2012) dollars) 2/",79711.7
33000,New Hampshire,3,"  Real PCE (millions of constant (2012) dollars) 3/",61305.9
33000,New Hampshire,,Current dollar statistics (millions of dollars),
33000,New Hampshire,4,"  Gross domestic product (GDP)",88337.7
33000,New Hampshire,5,"  Personal income",94440.8
33000,New Hampshire,6,"  Disposable personal income",85335.7
33000,New Hampshire,7,"  Personal consumption expenditures",71131.4
33000,New Hampshire,,Real per capita dollar statistics (constant 2012 dollars),
33000,New Hampshire,8,"  Real per capita personal income 4/",58342
33000,New Hampshire,9,"  Real per capita PCE 5/",44871
33000,New Hampshire,,Per capita current dollar statistics,
33000,New Hampshire,10,"  Per capita personal income 6/",68542
33000,New Hampshire,11,"  Per capita disposable personal income 7/",61934
33000,New Hampshire,12,"  Per capita personal consumption expenditures (PCE) 8/",51625
33000,New Hampshire,,Price indexes,
33000,New Hampshire,13,"  Regional price parities (RPPs) 9/",103.713
33000,New Hampshire,14,"  Implicit regional price deflator 10/",115.354
33000,New Hampshire,,Employment,
33000,New Hampshire,15,"  Total employment (number of jobs)",858502
34000,New Jersey,,Real dollar statistics,
34000,New Jersey,1,"  Real GDP (millions of chained 2012 dollars) 1/",535323.7
34000,New Jersey,2,"  Real personal income (millions of constant (2012) dollars) 2/",529339.1
34000,New Jersey,3,"  Real PCE (millions of constant (2012) dollars) 3/",360787.4
34000,New Jersey,,Current dollar statistics (millions of dollars),
34000,New Jersey,4,"  Gross domestic product (GDP)",620085.9
34000,New Jersey,5,"  Personal income",663544.1
34000,New Jersey,6,"  Disposable personal income",579483.8
34000,New Jersey,7,"  Personal consumption expenditures",447693.8
34000,New Jersey,,Real per capita dollar statistics (constant 2012 dollars),
34000,New Jersey,8,"  Real per capita personal income 4/",59594
34000,New Jersey,9,"  Real per capita PCE 5/",40618
34000,New Jersey,,Per capita current dollar statistics,
34000,New Jersey,10,"  Per capita personal income 6/",71505
34000,New Jersey,11,"  Per capita disposable personal income 7/",62446
34000,New Jersey,12,"  Per capita personal consumption expenditures (PCE) 8/",48244
34000,New Jersey,,Price indexes,
34000,New Jersey,13,"  Regional price parities (RPPs) 9/",111.163
34000,New Jersey,14,"  Implicit regional price deflator 10/",123.640
34000,New Jersey,,Employment,
34000,New Jersey,15,"  Total employment (number of jobs)",5319600
35000,New Mexico,,Real dollar statistics,
35000,New Mexico,1,"  Real GDP (millions of chained 2012 dollars) 1/",92496.3
35000,New Mexico,2,"  Real personal income (millions of constant (2012) dollars) 2/",96125.9
35000,New Mexico,3,"  Real PCE (millions of constant (2012) dollars) 3/",72931.0
35000,New Mexico,,Current dollar statistics (millions of dollars),
35000,New Mexico,4,"  Gross domestic product (GDP)",98790.0
35000,New Mexico,5,"  Personal income",99018.0
35000,New Mexico,6,"  Disposable personal income",91171.2
35000,New Mexico,7,"  Personal consumption expenditures",74388.6
35000,New Mexico,,Real per capita dollar statistics (constant 2012 dollars),
35000,New Mexico,8,"  Real per capita personal income 4/",45637
35000,New Mexico,9,"  Real per capita PCE 5/",34625
35000,New Mexico,,Per capita current dollar statistics,
35000,New Mexico,10,"  Per capita personal income 6/",46760
35000,New Mexico,11,"  Per capita disposable personal income 7/",43055
35000,New Mexico,12,"  Per capita personal consumption expenditures (PCE) 8/",35129
35000,New Mexico,,Price indexes,
35000,New Mexico,13,"  Regional price parities (RPPs) 9/",91.567
35000,New Mexico,14,"  Implicit regional price deflator 10/",101.845
35000,New Mexico,,Employment,
35000,New Mexico,15,"  Total employment (number of jobs)",1069680
36000,New York,,Real dollar statistics,
36000,New York,1,"  Real GDP (millions of chained 2012 dollars) 1/",1432507.0
36000,New York,2,"  Real personal income (millions of constant (2012) dollars) 2/",1178311.4
36000,New York,3,"  Real PCE (millions of constant (2012) dollars) 3/",784533.7
36000,New York,,Current dollar statistics (millions of dollars),
36000,New York,4,"  Gross domestic product (GDP)",1740804.7
36000,New York,5,"  Personal income",1442624.6
36000,New York,6,"  Disposable personal income",1225726.1
36000,New York,7,"  Personal consumption expenditures",966027.5
36000,New York,,Real per capita dollar statistics (constant 2012 dollars),
36000,New York,8,"  Real per capita personal income 4/",60936
36000,New York,9,"  Real per capita PCE 5/",40572
36000,New York,,Per capita current dollar statistics,
36000,New York,10,"  Per capita personal income 6/",71577
36000,New York,11,"  Per capita disposable personal income 7/",60815
36000,New York,12,"  Per capita personal consumption expenditures (PCE) 8/",47930
36000,New York,,Price indexes,
36000,New York,13,"  Regional price parities (RPPs) 9/",110.212
36000,New York,14,"  Implicit regional price deflator 10/",122.583
36000,New York,,Employment,
36000,New York,15,"  Total employment (number of jobs)",11872381
37000,North Carolina,,Real dollar statistics,
37000,North Carolina,1,"  Real GDP (millions of chained 2012 dollars) 1/",506658.1
37000,North Carolina,2,"  Real personal income (millions of constant (2012) dollars) 2/",523633.4
37000,North Carolina,3,"  Real PCE (millions of constant (2012) dollars) 3/",397413.9
37000,North Carolina,,Current dollar statistics (millions of dollars),
37000,North Carolina,4,"  Gross domestic product (GDP)",598915.9
37000,North Carolina,5,"  Personal income",542726.5
37000,North Carolina,6,"  Disposable personal income",486060.2
37000,North Carolina,7,"  Personal consumption expenditures",407610.3
37000,North Carolina,,Real per capita dollar statistics (constant 2012 dollars),
37000,North Carolina,8,"  Real per capita personal income 4/",49396
37000,North Carolina,9,"  Real per capita PCE 5/",37489
37000,North Carolina,,Per capita current dollar statistics,
37000,North Carolina,10,"  Per capita personal income 6/",51900
37000,North Carolina,11,"  Per capita disposable personal income 7/",46481
37000,North Carolina,12,"  Per capita personal consumption expenditures (PCE) 8/",38979
37000,North Carolina,,Price indexes,
37000,North Carolina,13,"  Regional price parities (RPPs) 9/",91.840
37000,North Carolina,14,"  Implicit regional price deflator 10/",102.149
37000,North Carolina,,Employment,
37000,North Carolina,15,"  Total employment (number of jobs)",6055314
38000,North Dakota,,Real dollar statistics,
38000,North Dakota,1,"  Real GDP (millions of chained 2012 dollars) 1/",53653.6
38000,North Dakota,2,"  Real personal income (millions of constant (2012) dollars) 2/",46137.4
38000,North Dakota,3,"  Real PCE (millions of constant (2012) dollars) 3/",32851.9
38000,North Dakota,,Current dollar statistics (millions of dollars),
38000,North Dakota,4,"  Gross domestic product (GDP)",54422.9
38000,North Dakota,5,"  Personal income",47410.7
38000,North Dakota,6,"  Disposable personal income",43230.1
38000,North Dakota,7,"  Personal consumption expenditures",33820.5
38000,North Dakota,,Real per capita dollar statistics (constant 2012 dollars),
38000,North Dakota,8,"  Real per capita personal income 4/",60286
38000,North Dakota,9,"  Real per capita PCE 5/",42926
38000,North Dakota,,Per capita current dollar statistics,
38000,North Dakota,10,"  Per capita personal income 6/",60864
38000,North Dakota,11,"  Per capita disposable personal income 7/",55497
38000,North Dakota,12,"  Per capita personal consumption expenditures (PCE) 8/",43417
38000,North Dakota,,Price indexes,
38000,North Dakota,13,"  Regional price parities (RPPs) 9/",92.041
38000,North Dakota,14,"  Implicit regional price deflator 10/",102.372
38000,North Dakota,,Employment,
38000,North Dakota,15,"  Total employment (number of jobs)",560682
39000,Ohio,,Real dollar statistics,
39000,Ohio,1,"  Real GDP (millions of chained 2012 dollars) 1/",594143.6
39000,Ohio,2,"  Real personal income (millions of constant (2012) dollars) 2/",616908.2
39000,Ohio,3,"  Real PCE (millions of constant (2012) dollars) 3/",457102.5
39000,Ohio,,Current dollar statistics (millions of dollars),
39000,Ohio,4,"  Gross domestic product (GDP)",684382.5
39000,Ohio,5,"  Personal income",631330.7
39000,Ohio,6,"  Disposable personal income",569348.7
39000,Ohio,7,"  Personal consumption expenditures",467691.0
39000,Ohio,,Real per capita dollar statistics (constant 2012 dollars),
39000,Ohio,8,"  Real per capita personal income 4/",52758
39000,Ohio,9,"  Real per capita PCE 5/",39091
39000,Ohio,,Per capita current dollar statistics,
39000,Ohio,10,"  Per capita personal income 6/",53545
39000,Ohio,11,"  Per capita disposable personal income 7/",48288
39000,Ohio,12,"  Per capita personal consumption expenditures (PCE) 8/",39666
39000,Ohio,,Price indexes,
39000,Ohio,13,"  Regional price parities (RPPs) 9/",91.690
39000,Ohio,14,"  Implicit regional price deflator 10/",101.981
39000,Ohio,,Employment,
39000,Ohio,15,"  Total employment (number of jobs)",6853595
40000,Oklahoma,,Real dollar statistics,
40000,Oklahoma,1,"  Real GDP (millions of chained 2012 dollars) 1/",192485.5
40000,Oklahoma,2,"  Real personal income (millions of constant (2012) dollars) 2/",196070.8
40000,Oklahoma,3,"  Real PCE (millions of constant (2012) dollars) 3/",135341.1
40000,Oklahoma,,Current dollar statistics (millions of dollars),
40000,Oklahoma,4,"  Gross domestic product (GDP)",190063.6
40000,Oklahoma,5,"  Personal income",200152.9
40000,Oklahoma,6,"  Disposable personal income",183543.9
40000,Oklahoma,7,"  Personal consumption expenditures",138003.6
40000,Oklahoma,,Real per capita dollar statistics (constant 2012 dollars),
40000,Oklahoma,8,"  Real per capita personal income 4/",49254
40000,Oklahoma,9,"  Real per capita PCE 5/",33999
40000,Oklahoma,,Per capita current dollar statistics,
40000,Oklahoma,10,"  Per capita personal income 6/",50518
40000,Oklahoma,11,"  Per capita disposable personal income 7/",46326
40000,Oklahoma,12,"  Per capita personal consumption expenditures (PCE) 8/",34832
40000,Oklahoma,,Price indexes,
40000,Oklahoma,13,"  Regional price parities (RPPs) 9/",91.322
40000,Oklahoma,14,"  Implicit regional price deflator 10/",101.572
40000,Oklahoma,,Employment,
40000,Oklahoma,15,"  Total employment (number of jobs)",2263126
41000,Oregon,,Real dollar statistics,
41000,Oregon,1,"  Real GDP (millions of chained 2012 dollars) 1/",215743.6
41000,Oregon,2,"  Real personal income (millions of constant (2012) dollars) 2/",209889.8
41000,Oregon,3,"  Real PCE (millions of constant (2012) dollars) 3/",156276.0
41000,Oregon,,Current dollar statistics (millions of dollars),
41000,Oregon,4,"  Gross domestic product (GDP)",247966.7
41000,Oregon,5,"  Personal income",241790.3
41000,Oregon,6,"  Disposable personal income",212803.6
41000,Oregon,7,"  Personal consumption expenditures",179129.5
41000,Oregon,,Real per capita dollar statistics (constant 2012 dollars),
41000,Oregon,8,"  Real per capita personal income 4/",49485
41000,Oregon,9,"  Real per capita PCE 5/",36844
41000,Oregon,,Per capita current dollar statistics,
41000,Oregon,10,"  Per capita personal income 6/",57005
41000,Oregon,11,"  Per capita disposable personal income 7/",50171
41000,Oregon,12,"  Per capita personal consumption expenditures (PCE) 8/",42232
41000,Oregon,,Price indexes,
41000,Oregon,13,"  Regional price parities (RPPs) 9/",102.622
41000,Oregon,14,"  Implicit regional price deflator 10/",114.141
41000,Oregon,,Employment,
41000,Oregon,15,"  Total employment (number of jobs)",2493784
42000,Pennsylvania,,Real dollar statistics,
42000,Pennsylvania,1,"  Real GDP (millions of chained 2012 dollars) 1/",680957.4
42000,Pennsylvania,2,"  Real personal income (millions of constant (2012) dollars) 2/",729033.5
42000,Pennsylvania,3,"  Real PCE (millions of constant (2012) dollars) 3/",525981.5
42000,Pennsylvania,,Current dollar statistics (millions of dollars),
42000,Pennsylvania,4,"  Gross domestic product (GDP)",771613.2
42000,Pennsylvania,5,"  Personal income",788281.5
42000,Pennsylvania,6,"  Disposable personal income",704233.7
42000,Pennsylvania,7,"  Personal consumption expenditures",572692.2
42000,Pennsylvania,,Real per capita dollar statistics (constant 2012 dollars),
42000,Pennsylvania,8,"  Real per capita personal income 4/",57030
42000,Pennsylvania,9,"  Real per capita PCE 5/",41146
42000,Pennsylvania,,Per capita current dollar statistics,
42000,Pennsylvania,10,"  Per capita personal income 6/",60685
42000,Pennsylvania,11,"  Per capita disposable personal income 7/",54215
42000,Pennsylvania,12,"  Per capita personal consumption expenditures (PCE) 8/",44088
42000,Pennsylvania,,Price indexes,
42000,Pennsylvania,13,"  Regional price parities (RPPs) 9/",97.564
42000,Pennsylvania,14,"  Implicit regional price deflator 10/",108.516
42000,Pennsylvania,,Employment,
42000,Pennsylvania,15,"  Total employment (number of jobs)",7413333
44000,Rhode Island,,Real dollar statistics,
44000,Rhode Island,1,"  Real GDP (millions of chained 2012 dollars) 1/",51516.1
44000,Rhode Island,2,"  Real personal income (millions of constant (2012) dollars) 2/",56935.8
44000,Rhode Island,3,"  Real PCE (millions of constant (2012) dollars) 3/",40076.5
44000,Rhode Island,,Current dollar statistics (millions of dollars),
44000,Rhode Island,4,"  Gross domestic product (GDP)",60770.6
44000,Rhode Island,5,"  Personal income",65709.0
44000,Rhode Island,6,"  Disposable personal income",58730.1
44000,Rhode Island,7,"  Personal consumption expenditures",45546.3
44000,Rhode Island,,Real per capita dollar statistics (constant 2012 dollars),
44000,Rhode Island,8,"  Real per capita personal income 4/",53859
44000,Rhode Island,9,"  Real per capita PCE 5/",37911
44000,Rhode Island,,Per capita current dollar statistics,
44000,Rhode Island,10,"  Per capita personal income 6/",59941
44000,Rhode Island,11,"  Per capita disposable personal income 7/",53575
44000,Rhode Island,12,"  Per capita personal consumption expenditures (PCE) 8/",41548
44000,Rhode Island,,Price indexes,
44000,Rhode Island,13,"  Regional price parities (RPPs) 9/",101.845
44000,Rhode Island,14,"  Implicit regional price deflator 10/",113.276
44000,Rhode Island,,Employment,
44000,Rhode Island,15,"  Total employment (number of jobs)",615726
45000,South Carolina,,Real dollar statistics,
45000,South Carolina,1,"  Real GDP (millions of chained 2012 dollars) 1/",208234.1
45000,South Carolina,2,"  Real personal income (millions of constant (2012) dollars) 2/",246563.9
45000,South Carolina,3,"  Real PCE (millions of constant (2012) dollars) 3/",192240.4
45000,South Carolina,,Current dollar statistics (millions of dollars),
45000,South Carolina,4,"  Gross domestic product (GDP)",245359.5
45000,South Carolina,5,"  Personal income",251946.2
45000,South Carolina,6,"  Disposable personal income",227513.9
45000,South Carolina,7,"  Personal consumption expenditures",196787.9
45000,South Carolina,,Real per capita dollar statistics (constant 2012 dollars),
45000,South Carolina,8,"  Real per capita personal income 4/",47252
45000,South Carolina,9,"  Real per capita PCE 5/",36842
45000,South Carolina,,Per capita current dollar statistics,
45000,South Carolina,10,"  Per capita personal income 6/",49105
45000,South Carolina,11,"  Per capita disposable personal income 7/",44343
45000,South Carolina,12,"  Per capita personal consumption expenditures (PCE) 8/",38355
45000,South Carolina,,Price indexes,
45000,South Carolina,13,"  Regional price parities (RPPs) 9/",91.647
45000,South Carolina,14,"  Implicit regional price deflator 10/",101.934
45000,South Carolina,,Employment,
45000,South Carolina,15,"  Total employment (number of jobs)",2825222
46000,South Dakota,,Real dollar statistics,
46000,South Dakota,1,"  Real GDP (millions of chained 2012 dollars) 1/",47402.4
46000,South Dakota,2,"  Real personal income (millions of constant (2012) dollars) 2/",52147.6
46000,South Dakota,3,"  Real PCE (millions of constant (2012) dollars) 3/",36681.1
46000,South Dakota,,Current dollar statistics (millions of dollars),
46000,South Dakota,4,"  Gross domestic product (GDP)",55681.2
46000,South Dakota,5,"  Personal income",53621.5
46000,South Dakota,6,"  Disposable personal income",49853.7
46000,South Dakota,7,"  Personal consumption expenditures",37476.5
46000,South Dakota,,Real per capita dollar statistics (constant 2012 dollars),
46000,South Dakota,8,"  Real per capita personal income 4/",58414
46000,South Dakota,9,"  Real per capita PCE 5/",41089
46000,South Dakota,,Per capita current dollar statistics,
46000,South Dakota,10,"  Per capita personal income 6/",60446
46000,South Dakota,11,"  Per capita disposable personal income 7/",56199
46000,South Dakota,12,"  Per capita personal consumption expenditures (PCE) 8/",42246
46000,South Dakota,,Price indexes,
46000,South Dakota,13,"  Regional price parities (RPPs) 9/",91.518
46000,South Dakota,14,"  Implicit regional price deflator 10/",101.790
46000,South Dakota,,Employment,
46000,South Dakota,15,"  Total employment (number of jobs)",606699
47000,Tennessee,,Real dollar statistics,
47000,Tennessee,1,"  Real GDP (millions of chained 2012 dollars) 1/",323454.0
47000,Tennessee,2,"  Real personal income (millions of constant (2012) dollars) 2/",344034.4
47000,Tennessee,3,"  Real PCE (millions of constant (2012) dollars) 3/",251970.4
47000,Tennessee,,Current dollar statistics (millions of dollars),
47000,Tennessee,4,"  Gross domestic product (GDP)",379007.1
47000,Tennessee,5,"  Personal income",362278.1
47000,Tennessee,6,"  Disposable personal income",334898.0
47000,Tennessee,7,"  Personal consumption expenditures",259372.2
47000,Tennessee,,Real per capita dollar statistics (constant 2012 dollars),
47000,Tennessee,8,"  Real per capita personal income 4/",49955
47000,Tennessee,9,"  Real per capita PCE 5/",36587
47000,Tennessee,,Per capita current dollar statistics,
47000,Tennessee,10,"  Per capita personal income 6/",52351
47000,Tennessee,11,"  Per capita disposable personal income 7/",48395
47000,Tennessee,12,"  Per capita personal consumption expenditures (PCE) 8/",37481
47000,Tennessee,,Price indexes,
47000,Tennessee,13,"  Regional price parities (RPPs) 9/",92.150
47000,Tennessee,14,"  Implicit regional price deflator 10/",102.493
47000,Tennessee,,Employment,
47000,Tennessee,15,"  Total employment (number of jobs)",4121399
48000,Texas,,Real dollar statistics,
48000,Texas,1,"  Real GDP (millions of chained 2012 dollars) 1/",1747562.0
48000,Texas,2,"  Real personal income (millions of constant (2012) dollars) 2/",1466415.9
48000,Texas,3,"  Real PCE (millions of constant (2012) dollars) 3/",1051771.0
48000,Texas,,Current dollar statistics (millions of dollars),
48000,Texas,4,"  Gross domestic product (GDP)",1789933.4
48000,Texas,5,"  Personal income",1624525.8
48000,Texas,6,"  Disposable personal income",1479123.6
48000,Texas,7,"  Personal consumption expenditures",1168805.2
48000,Texas,,Real per capita dollar statistics (constant 2012 dollars),
48000,Texas,8,"  Real per capita personal income 4/",49945
48000,Texas,9,"  Real per capita PCE 5/",35822
48000,Texas,,Per capita current dollar statistics,
48000,Texas,10,"  Per capita personal income 6/",55601
48000,Texas,11,"  Per capita disposable personal income 7/",50624
48000,Texas,12,"  Per capita personal consumption expenditures (PCE) 8/",40003
48000,Texas,,Price indexes,
48000,Texas,13,"  Regional price parities (RPPs) 9/",99.542
48000,Texas,14,"  Implicit regional price deflator 10/",110.715
48000,Texas,,Employment,
48000,Texas,15,"  Total employment (number of jobs)",17706662
49000,Utah,,Real dollar statistics,
49000,Utah,1,"  Real GDP (millions of chained 2012 dollars) 1/",174954.7
49000,Utah,2,"  Real personal income (millions of constant (2012) dollars) 2/",160505.6
49000,Utah,3,"  Real PCE (millions of constant (2012) dollars) 3/",114548.0
49000,Utah,,Current dollar statistics (millions of dollars),
49000,Utah,4,"  Gross domestic product (GDP)",202133.4
49000,Utah,5,"  Personal income",171385.4
49000,Utah,6,"  Disposable personal income",152659.2
49000,Utah,7,"  Personal consumption expenditures",122472.1
49000,Utah,,Real per capita dollar statistics (constant 2012 dollars),
49000,Utah,8,"  Real per capita personal income 4/",49388
49000,Utah,9,"  Real per capita PCE 5/",35247
49000,Utah,,Per capita current dollar statistics,
49000,Utah,10,"  Per capita personal income 6/",52225
49000,Utah,11,"  Per capita disposable personal income 7/",46519
49000,Utah,12,"  Per capita personal consumption expenditures (PCE) 8/",37320
49000,Utah,,Price indexes,
49000,Utah,13,"  Regional price parities (RPPs) 9/",95.322
49000,Utah,14,"  Implicit regional price deflator 10/",106.021
49000,Utah,,Employment,
49000,Utah,15,"  Total employment (number of jobs)",2135409
50000,Vermont,,Real dollar statistics,
50000,Vermont,1,"  Real GDP (millions of chained 2012 dollars) 1/",29064.6
50000,Vermont,2,"  Real personal income (millions of constant (2012) dollars) 2/",33490.0
50000,Vermont,3,"  Real PCE (millions of constant (2012) dollars) 3/",26737.7
50000,Vermont,,Current dollar statistics (millions of dollars),
50000,Vermont,4,"  Gross domestic product (GDP)",34018.6
50000,Vermont,5,"  Personal income",38097.7
50000,Vermont,6,"  Disposable personal income",34260.0
50000,Vermont,7,"  Personal consumption expenditures",29686.3
50000,Vermont,,Real per capita dollar statistics (constant 2012 dollars),
